akshay.agarwal854,CSE101
akshayj,CSE111
ambujm,CSE101
anjalis,CSE101
deepika1.yadav,CSE111
dhananjayk,CSE111
gourav0905,CSE131
himanshu7buckchash,CSE131
jyotil,CSE201
milanj,CSE131
paragaggarwal89,CSE201
prakharc,ECE211
rahuls,CSE231
rohitk,CSE231
santhoshk,ECE250
sonias,MTH100
syed.udsc,MTH100
tanyas,MTH100
wazirs,MTH203
